job_title,company,job_location,job_summary,job_salary,post_date,today,job_url
"Business Analyst I, Virtual Care - TELUS Health",TELUS,"Remote in Vancouver, BC","Drives market research and leverages data to drive strategic planning and develop compelling, insight-informed narratives that frame key strategic decisions (e…",Full-time,Posted23 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=73f8dfbd4c516c1e&fccid=ed81336789a877c2&vjs=3
Senior Data Analyst,Match Group,"Remote in Vancouver, BC","Experience with raw clickstream data (telemetry event data) and datasets of 100 million+ records.
Proven technical data analytics skills in working with large…",,Posted9 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=fa2f21d03cb2c08e&fccid=47feb0effe4ed4f2&vjs=3
database analyst,PIU SUPPLY CHAIN MANAGEMENT,"Richmond, BC",Paid time off (volunteering or personal days).,$17–$20 an hour,Posted21 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=f9856cb471729605&fccid=32d459636de6f072&vjs=3
Senior Business Analyst - Construction PMIS - one year contr...,NPAworldwide,"Vancouver, BC","Resolves application and data integration issues as required.
Researches and identifiesopportunities to add value to the business through the technology…",Up to $112 an hour,Posted3 days ago,2022-07-01,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C9BnvUC2OfFUcEeCwFAziw5WmrWmoYFT5czV5v4GtF89ANosMj2rKoMvZhBHewgwJkCd3Mh02Q70gVhkjT0ygqomsLa8vpE628ORiPl9QeoUtgsS_-fPCDtNBZuSjUm6u1hKEo5RcVQDT2dNaWUb1TrEVzkIs94Twwx-P_H5dRVWKEA8RwSMfTOVZwax-CiWk8_ry1y69yamWTWDucQsb86vT2Ck8DXX7TmwMkca6EdHFzeNtGBkNOhP70eMQeOVL6jMnRxxVR5_vkceQnXav3J44LMbs6T-d4czCcXhYX2CzxO3cyito73A1S2H7s8zse0eyo0UDRItlvoXTupRnyjEgVKIxHVAeRJmYMhlynaFC6XTw1NodDRcT2_w4elupCebQDZjH3WYvhbsbVE2bSjwJrstadnZy8RkdAzStgpAwOIgxEs9j5Bgca0q_A_qYgVS7u98kQNvw5oh0Uz_vWmxbwVgg781ns42ZSqKisF3ZYs45yU030maEp5XUcrtonpW_2aqjjW2DgIaj-kw2P&xkcb=SoD_-_M3ceGR1ARvQp0LbzkdCdPP&p=9&fvj=0&vjs=3
FL Business Analyst,Fujitsu,"Vancouver, BC","Decompose process workflows into use cases with functional definitions, logical data models and system requirements.
ServiceNow ticket and work orders creation.",Temporary +1,Posted11 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=d42e7b79452ca22d&fccid=0d771a787e6e10bd&vjs=3
Data Analyst,QHR Technologies Inc,"Vancouver, BC","Develop SQL scripts for migrating and massaging data between data schemas.
Assess data to verify data integrity before/after data migrations.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=bfe648cdba647d08&fccid=6be75c5e09ad4eed&vjs=3
Impact Analyst,Herschel Supply Company,"Vancouver, BC","Managing the vendor environmental data and Higg FEM platform core responsibilities (being annual data collection, data integrity, vendor communications, and…",Full-time,Posted1 day ago,2022-07-01,https://ca.indeed.com/company/Herschel-Supply-Company---Social-Engagement/jobs/Impact-Analyst-ec3e43e959cd82a3?fccid=2de679da0b404a0f&vjs=3
"Business Support Analyst, User Readiness, IMITS",PHSA,"Vancouver, BC","The position performs data gathering and analysis using multiple data analysis visualization tools, interprets and summaries results, prepares business…",$35.99 an hour,Posted2 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c7b76c7909756ccd&fccid=f66f721a44de3765&vjs=3
Business Analyst,Vancouver Coastal Health,"Vancouver, BC","Identifies, collects and analyses relevant data and information including industry-wide assessments and research.
Strong facilitation and education skills.",$33.35–$47.94 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=69dc4efa59e5dea1&fccid=3513825c36972737&vjs=3
Single Molecule Data Analyst,ScopeSys,"Vancouver, BC","Present newly acquired key data to collaborators using your data visualization expertise.
Previous scientific research environment or experience designing,…",,EmployerActive 10 days ago,2022-07-01,https://ca.indeed.com/company/ScopeSys/jobs/Single-Molecule-Data-Analyst-6ccd80e322592641?fccid=7d11de3bf4b857a5&vjs=3
Product Business Analyst Co-op,FISPAN,"Vancouver, BC","Experience using data management tools like Excel and Google Sheets.
Our product aims to provide instant scale and reach for banks who want to remove friction…",,Posted9 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=a65b899e2f150511&fccid=950492a34fa3df72&vjs=3
"Business Operations Analyst II, AWS Commerce Platform Busine...",Amazon Dev Centre Canada ULC,"Vancouver, BC+1 location","Ensuring accuracy of data and data analysis is of utmost importance.
Identify, design and develop data source discovery efforts across databases and identify…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=11140ff3381964dc&fccid=fe2d21eef233e94a&vjs=3
"Business Analyst, Data & Analytics - BC Cancer Vancouver",PHSA,"Hybrid remote in Vancouver, BC","Identify issues with complex data and takes initiative in working out optimal solutions with appropriate stakeholders to improve accuracy, timelines,…",,Posted23 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=39a64e08565bb589&fccid=f66f721a44de3765&vjs=3
Data Analyst,Gateway Casinos Corporate Office,"Burnaby, BC","Assists the corporate marketing team, develop and execute direct marketing projects / data extraction to achieve the company’s objectives regarding revenue,…",,Posted10 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=a8343d41e9490345&fccid=1574e4fe315c5eb1&vjs=3
ISU Research Analyst,University of British Columbia,"Vancouver, BC","Experience with data analysis (e.g. health data analysis) an asset.
The analyst will work with considerable latitude with research work reviewed against…","$4,689–$6,754 a month",Posted2 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=b76d03cb0df428b9&fccid=462e6068c17c7702&vjs=3
Data Analyst - Cell Biology,AbCellera Biologics,"Vancouver, BC","Developing and implementing software solutions for improving data flow and maintaining data standards across multiple teams.
A minimum of 3 weeks of vacation.",,Posted10 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=e3ae52080804c807&fccid=6161745df4a18957&vjs=3
Business Systems and Support Analyst,PHSA,"Burnaby, BC","Equivalent combination of education, training and experience (for example, experience as a business analyst, financial business analyst or project business…",$33.91 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c569cfd304edd285&fccid=f66f721a44de3765&vjs=3
Senior Data Analyst,Taking Root,"Remote in Vancouver, BC","You will also work closely with our data science team to automate reporting and data validation.
Build data validation processes for field, geo-spatial and…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/company/Farm--Trace-Technologies-Incorporated/jobs/Senior-Data-Analyst-fc5acafb632a66a0?fccid=e086b11198bae10f&vjs=3
"Business Development Associate, External Development Intelli...",Electronic Arts,"Remote in Vancouver, BC","We support multiple disciplines, including co-dev, porting, art, animation, cinematics, UX-UI, engineering, and audio.",,Posted7 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=abbd2c812b532174&fccid=617d7f961cfcf54a&vjs=3
"Analyst, Business Systems IWMS",Vancouver Coastal Health,"Vancouver, BC","Conduct feasibility studies, business systems efficiency analysis using formal data gathering techniques.
Perform current/future state analysis by using formal…",$30.33–$43.60 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=1dd528071fabc936&fccid=3513825c36972737&vjs=3
